timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,42.07,15.40,101.41,400,1185,2.03,1.58,2.08,1.57,1.07,1
500,42.39,15.45,101.42,400,1246,2.03,1.58,2.08,1.35,1.04,1
1000,42.45,15.44,101.42,400,1194,2.02,1.58,2.07,1.20,1.02,1
1500,42.58,15.40,101.42,400,1162,2.02,1.57,2.07,1.14,1.01,1
2000,42.69,15.35,101.42,400,1113,2.02,1.58,2.06,1.11,1.01,1
2500,42.63,15.29,101.42,400,1088,2.01,1.57,2.06,1.08,1.00,1
3000,42.40,15.22,101.42,400,1031,2.01,1.57,2.06,1.06,1.00,1
3500,42.25,15.18,101.42,400,1009,2.01,1.57,2.05,1.07,0.99,1
4000,42.23,15.17,101.42,400,997,2.01,1.57,2.05,1.08,1.02,1
4500,42.29,15.19,101.42,400,1033,2.01,1.57,2.06,1.23,1.03,1
5000,42.30,15.22,101.42,400,1055,2.02,1.57,2.06,1.27,1.05,1
5500,42.32,15.29,101.42,400,1080,2.02,1.57,2.06,1.24,1.06,1
6000,42.29,15.31,101.42,400,1074,2.01,1.57,2.06,1.22,1.05,1
6500,42.15,15.31,101.42,400,1063,2.01,1.57,2.06,1.16,1.03,1
7000,41.95,15.31,101.42,400,1025,2.01,1.56,2.06,1.11,1.02,2
7500,41.84,15.32,101.42,400,995,2.01,1.56,2.05,1.09,1.02,2
8000,41.91,15.35,101.42,400,959,2.01,1.56,2.05,1.08,1.02,2
8500,41.82,15.39,101.42,400,944,2.00,1.56,2.05,1.11,1.03,2
9000,41.62,15.40,101.42,400,914,2.00,1.56,2.05,1.09,1.02,2
9500,41.29,15.44,101.42,400,888,2.00,1.55,2.05,1.09,1.03,2
10000,41.35,15.50,101.42,400,922,2.00,1.55,2.05,1.17,1.04,2
10500,41.54,15.60,101.42,400,913,2.00,1.55,2.05,1.17,1.06,2
11000,41.55,15.68,101.42,400,913,2.00,1.55,2.05,1.15,1.05,2
11500,41.59,15.73,101.42,400,912,2.00,1.55,2.05,1.17,1.06,2
12000,41.64,15.76,101.42,400,907,2.00,1.55,2.05,1.16,1.07,2
12500,41.61,15.76,101.42,400,889,2.00,1.55,2.05,1.14,1.08,2
13000,41.68,15.78,101.42,400,891,2.00,1.55,2.05,1.16,1.12,2
13500,41.93,15.81,101.42,400,897,2.00,1.55,2.05,1.17,1.14,2
14000,42.04,15.82,101.42,400,910,2.01,1.55,2.05,1.19,1.16,2
14500,41.98,15.81,101.42,400,930,2.00,1.55,2.05,1.17,1.14,2
15000,41.78,15.76,101.42,400,967,2.00,1.55,2.05,1.14,1.13,2
15500,41.64,15.73,101.42,400,928,2.00,1.55,2.05,1.14,1.12,2
16000,41.87,15.80,101.42,400,958,2.01,1.55,2.05,1.20,1.14,2
16500,42.19,15.79,101.42,400,976,2.01,1.55,2.05,1.21,1.14,2
17000,42.37,15.80,101.42,400,993,2.01,1.55,2.05,1.23,1.15,2
17500,42.58,15.75,101.42,400,1042,2.01,1.56,2.05,1.23,1.15,2
18000,42.79,15.74,101.42,400,1065,2.01,1.56,2.06,1.30,1.18,2
18500,43.10,15.70,101.42,400,1134,2.02,1.56,2.06,1.35,1.20,2
19000,43.51,15.65,101.42,400,1167,2.02,1.56,2.06,1.34,1.21,2
19500,43.91,15.56,101.42,400,1209,2.02,1.56,2.06,1.34,1.24,2
20000,44.15,15.44,101.42,400,1244,2.02,1.57,2.07,1.31,1.21,2
20500,44.19,15.29,101.42,400,1253,2.02,1.57,2.06,1.28,1.24,2
21000,44.47,15.14,101.42,400,1291,2.03,1.56,2.07,1.34,1.23,2
21500,44.73,15.03,101.42,400,1397,2.03,1.57,2.07,1.39,1.25,2
22000,44.95,14.90,101.42,400,1420,2.03,1.57,2.07,1.35,1.23,2
22500,45.23,14.75,101.42,400,1425,2.03,1.57,2.07,1.31,1.24,2
23000,45.41,14.60,101.42,400,1427,2.03,1.57,2.07,1.30,1.23,2
23500,45.55,14.45,101.42,400,1427,2.03,1.57,2.07,1.30,1.24,2
24000,45.75,14.31,101.42,400,1416,2.03,1.57,2.07,1.28,1.22,2
24500,45.88,14.17,101.42,400,1429,2.03,1.57,2.07,1.30,1.21,2
25000,46.15,14.02,101.42,400,1395,2.03,1.57,2.08,1.33,1.25,2
25500,46.41,13.92,101.42,400,1480,2.04,1.57,2.08,1.40,1.25,2
26000,46.80,13.85,101.42,400,1776,2.05,1.58,2.09,1.57,1.27,2
26500,47.46,13.80,101.42,400,1988,2.05,1.58,2.10,1.54,1.26,2
27000,47.72,13.64,101.42,400,2053,2.05,1.58,2.10,1.44,1.24,2
27500,47.83,13.45,101.42,400,2030,2.05,1.58,2.10,1.38,1.25,2
28000,47.91,13.25,101.42,400,2099,2.05,1.58,2.10,1.45,1.25,2
28500,48.07,13.12,101.42,400,2163,2.05,1.58,2.10,1.43,1.29,2
29000,48.36,13.00,101.42,400,2168,2.05,1.59,2.10,1.47,1.31,2
29500,48.95,12.91,101.42,400,2468,2.07,1.59,2.12,1.69,1.32,2
30000,49.37,12.81,101.42,400,2602,2.07,1.60,2.12,1.53,1.28,2
30500,48.84,12.57,101.42,400,2484,2.06,1.59,2.11,1.36,1.25,2
31000,48.08,12.34,101.42,400,2316,2.05,1.59,2.10,1.29,1.21,2
31500,47.43,12.22,101.42,400,2184,2.05,1.58,2.10,1.23,1.21,2
32000,47.21,12.20,101.42,400,2094,2.04,1.58,2.09,1.23,1.25,2
32500,47.48,12.25,101.42,400,2043,2.05,1.58,2.10,1.34,1.27,2
33000,47.99,12.33,101.42,400,2000,2.05,1.58,2.10,1.32,1.26,2
33500,48.42,12.37,101.42,400,2004,2.05,1.58,2.10,1.40,1.25,2
34000,48.97,12.38,101.42,400,1997,2.05,1.59,2.10,1.40,1.30,2
34500,49.36,12.32,101.42,400,2101,2.06,1.59,2.11,1.45,1.31,2
35000,49.84,12.30,101.42,400,2290,2.07,1.60,2.12,1.57,1.33,2
35500,50.19,12.23,101.42,400,2503,2.07,1.60,2.12,1.59,1.36,2
36000,50.56,12.13,101.42,400,2632,2.07,1.61,2.13,1.54,1.34,2
36500,50.35,11.95,101.42,400,2644,2.07,1.61,2.12,1.41,1.35,2
37000,50.41,11.84,101.42,400,2736,2.08,1.61,2.13,1.52,1.35,2
37500,50.97,11.79,101.41,400,2891,2.09,1.62,2.14,1.61,1.48,2
38000,51.53,11.72,101.42,400,3036,2.09,1.62,2.14,1.58,1.49,2
38500,51.97,11.65,101.42,400,3319,2.09,1.63,2.15,1.65,1.55,2
39000,52.22,11.52,101.42,400,3630,2.10,1.63,2.15,1.64,1.59,2
39500,52.54,11.44,101.42,400,4146,2.11,1.64,2.16,1.67,1.59,2
40000,52.98,11.37,101.42,400,4232,2.11,1.64,2.16,1.64,1.53,2
