timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,nh3,state
0,63.33,5.66,101.85,400,1048,2.12,1.72,2.24,0.90,1.02,1
500,63.46,5.80,101.85,400,1071,2.12,1.72,2.24,0.89,1.01,1
1000,63.50,5.88,101.85,400,1025,2.12,1.71,2.23,0.89,1.01,1
1500,63.72,5.98,101.85,400,996,2.12,1.71,2.23,0.89,1.01,1
2000,63.80,5.99,101.85,400,1012,2.11,1.71,2.22,0.89,1.01,1
2500,63.93,6.01,101.85,400,988,2.11,1.71,2.22,0.89,1.00,1
3000,63.84,6.02,101.85,400,970,2.11,1.70,2.22,0.89,1.01,1
3500,63.36,6.00,101.85,506,1143,2.12,1.70,2.22,1.19,1.02,1
4000,63.11,6.05,101.85,591,1310,2.12,1.70,2.23,1.26,1.04,1
4500,63.01,6.13,101.85,682,1596,2.13,1.69,2.24,1.29,1.06,1
5000,62.73,6.17,101.85,679,1861,2.12,1.69,2.24,1.22,1.08,2
5500,62.30,6.20,101.85,614,1935,2.12,1.69,2.24,1.23,1.08,2
6000,61.82,6.26,101.86,520,1863,2.12,1.68,2.23,1.15,1.08,2
6500,61.79,6.35,101.86,502,1877,2.12,1.68,2.23,1.20,1.07,2
7000,61.27,6.41,101.86,425,1766,2.12,1.67,2.23,1.10,1.07,2
7500,60.45,6.50,101.86,407,1713,2.12,1.67,2.23,1.08,1.09,2
8000,59.73,6.61,101.86,400,1674,2.11,1.66,2.22,1.07,1.11,2
8500,59.12,6.76,101.86,400,1549,2.11,1.66,2.22,1.06,1.11,2
9000,58.78,6.94,101.86,447,1672,2.11,1.66,2.22,1.18,1.16,2
9500,58.86,7.10,101.86,587,1905,2.12,1.65,2.22,1.37,1.21,2
10000,59.10,7.26,101.85,797,2376,2.13,1.65,2.23,1.50,1.19,2
10500,59.39,7.34,101.86,887,2734,2.13,1.65,2.23,1.46,1.18,2
11000,59.73,7.39,101.85,1041,3294,2.13,1.65,2.24,1.48,1.17,2
11500,60.20,7.43,101.85,1053,3845,2.14,1.65,2.24,1.58,1.17,2
12000,60.57,7.39,101.86,871,3931,2.14,1.65,2.24,1.46,1.16,2
12500,60.53,7.32,101.86,782,3895,2.14,1.65,2.24,1.41,1.14,2
13000,59.77,7.26,101.86,611,3404,2.13,1.65,2.23,1.21,1.12,2
13500,58.84,7.24,101.86,581,3178,2.12,1.64,2.23,1.21,1.12,2
14000,58.10,7.31,101.86,590,3066,2.12,1.64,2.22,1.19,1.16,2
14500,58.07,7.46,101.86,675,3148,2.12,1.64,2.23,1.42,1.15,2
15000,58.47,7.61,101.86,1132,4237,2.13,1.63,2.24,1.61,1.16,2
15500,59.22,7.74,101.86,1172,4924,2.14,1.63,2.25,1.68,1.15,2
16000,59.52,7.73,101.86,1231,5390,2.15,1.64,2.25,1.72,1.15,2
16500,60.01,7.72,101.85,975,5355,2.15,1.64,2.26,1.66,1.14,2
17000,60.28,7.68,101.86,837,5240,2.15,1.64,2.25,1.54,1.14,2
17500,59.60,7.54,101.87,622,4603,2.14,1.63,2.24,1.27,1.13,2
18000,58.45,7.47,101.87,510,4006,2.13,1.62,2.23,1.17,1.12,2
18500,57.47,7.53,101.86,400,3334,2.11,1.62,2.22,1.09,1.11,2
19000,56.70,7.63,101.86,400,2877,2.11,1.61,2.21,1.04,1.13,2
19500,56.15,7.81,101.87,400,2648,2.10,1.60,2.20,1.07,1.18,2
20000,55.75,7.99,101.87,400,2450,2.10,1.60,2.20,1.12,1.24,2
20500,55.53,8.20,101.86,405,2475,2.10,1.60,2.20,1.28,1.32,2
21000,55.62,8.43,101.86,603,2662,2.12,1.60,2.21,1.49,1.36,2
21500,56.10,8.68,101.86,1232,3870,2.14,1.60,2.23,1.87,1.45,2
22000,56.93,8.89,101.86,1859,5781,2.16,1.61,2.25,2.03,1.47,2
22500,57.91,9.04,101.85,2749,8488,2.18,1.62,2.27,2.16,1.50,2
23000,58.83,9.06,101.86,3372,12248,2.19,1.63,2.28,2.10,1.49,2
23500,59.82,9.03,101.85,3215,14195,2.21,1.63,2.30,2.14,1.45,2
24000,60.75,8.89,101.86,3193,15040,2.21,1.63,2.31,2.10,1.45,2
24500,61.56,8.72,101.85,3252,15827,2.22,1.64,2.32,2.13,1.42,2
25000,62.34,8.52,101.85,3358,18450,2.23,1.65,2.33,2.18,1.41,2
25500,63.06,8.33,101.86,3012,18206,2.24,1.65,2.34,2.13,1.43,2
26000,63.33,8.13,101.86,2678,16210,2.24,1.65,2.34,2.03,1.41,2
26500,62.88,7.86,101.86,1783,14589,2.23,1.65,2.33,1.84,1.38,2
27000,62.39,7.67,101.86,1471,12788,2.23,1.64,2.32,1.86,1.39,2
27500,62.67,7.64,101.85,2111,13970,2.24,1.65,2.34,2.09,1.43,2
28000,62.93,7.64,101.86,1985,14387,2.25,1.65,2.34,2.04,1.44,2
28500,62.91,7.58,101.86,1775,13542,2.24,1.65,2.33,1.90,1.47,2
29000,62.78,7.54,101.86,1613,12845,2.24,1.65,2.33,1.94,1.44,2
29500,63.21,7.60,101.86,2061,13790,2.26,1.65,2.35,2.19,1.50,2
30000,63.77,7.64,101.86,2676,15220,2.27,1.66,2.35,2.23,1.52,2
30500,64.13,7.62,101.85,3287,17474,2.27,1.66,2.36,2.14,1.54,2
31000,64.26,7.55,101.86,3338,19949,2.27,1.66,2.36,2.19,1.56,2
31500,64.82,7.59,101.85,4182,25317,2.29,1.67,2.38,2.30,1.61,2
32000,65.45,7.59,101.85,4491,29849,2.29,1.68,2.39,2.28,1.62,2
32500,65.87,7.51,101.86,4315,30755,2.30,1.69,2.40,2.30,1.60,2
33000,66.10,7.42,101.86,3893,28942,2.31,1.69,2.40,2.26,1.57,2
33500,66.21,7.29,101.86,3063,24794,2.30,1.68,2.40,2.25,1.55,2
34000,66.03,7.14,101.86,2099,19182,2.30,1.68,2.39,2.08,1.58,2
34500,65.91,7.05,101.86,2830,20786,2.30,1.68,2.39,2.22,1.60,2
35000,65.88,7.01,101.86,2384,18834,2.29,1.68,2.39,2.07,1.55,2
35500,65.91,6.96,101.86,2899,21030,2.29,1.68,2.39,2.13,1.60,2
36000,65.84,6.94,101.86,2823,20576,2.30,1.68,2.39,2.16,1.68,2
36500,66.01,7.01,101.86,2261,18380,2.30,1.68,2.39,2.08,1.67,2
37000,65.85,6.96,101.86,1812,15636,2.29,1.67,2.38,2.02,1.63,2
37500,65.88,6.96,101.86,1598,14522,2.29,1.67,2.38,2.02,1.57,2
38000,65.80,6.92,101.86,1682,14139,2.28,1.67,2.37,1.93,1.58,2
38500,65.68,6.84,101.86,1709,13903,2.28,1.67,2.37,2.00,1.53,2
39000,65.86,6.82,101.85,2484,15197,2.29,1.67,2.38,2.20,1.55,2
39500,66.36,6.93,101.86,2408,16154,2.28,1.67,2.37,2.04,1.62,2
40000,65.30,6.74,101.86,1623,14072,2.26,1.66,2.35,1.70,1.70,2
40500,64.49,6.70,101.86,1929,14556,2.28,1.66,2.36,2.04,1.71,2
41000,64.97,7.00,101.85,4639,24655,2.30,1.68,2.39,2.35,1.73,2
41500,66.29,7.42,101.85,14192,49717,2.33,1.71,2.42,2.52,1.77,2
42000,67.54,7.64,101.84,15791,60000,2.34,1.73,2.44,2.57,1.84,2
42500,68.50,7.64,101.85,20974,60000,2.37,1.75,2.46,2.63,1.80,2
43000,69.36,7.55,101.85,20478,60000,2.38,1.75,2.48,2.60,1.74,2
43500,69.61,7.26,101.85,16260,60000,2.38,1.76,2.48,2.50,1.75,2
44000,69.76,7.01,101.85,18782,60000,2.39,1.76,2.49,2.53,1.71,2
44500,70.04,6.85,101.84,14358,60000,2.39,1.77,2.49,2.49,1.70,2
45000,70.38,6.78,101.84,12483,60000,2.39,1.77,2.50,2.54,1.69,2
45500,71.02,6.87,101.84,12621,60000,2.40,1.78,2.51,2.53,1.64,2
46000,70.41,6.47,101.85,6257,50693,2.36,1.76,2.48,2.15,1.55,2
46500,69.85,6.09,101.85,3662,39365,2.34,1.74,2.45,1.91,1.50,2
47000,69.38,5.85,101.85,2725,31835,2.33,1.73,2.44,1.83,1.47,2
47500,69.08,5.71,101.85,1976,25038,2.31,1.72,2.43,1.80,1.43,2
48000,68.78,5.65,101.85,2025,23644,2.32,1.72,2.43,1.98,1.41,2
48500,68.81,5.75,101.85,2027,22703,2.32,1.72,2.43,2.08,1.40,2
49000,68.88,5.84,101.85,1891,20576,2.31,1.72,2.43,2.05,1.41,2
49500,69.20,6.01,101.85,2796,23574,2.32,1.72,2.43,2.08,1.42,2
50000,69.62,6.16,101.85,3868,30755,2.34,1.74,2.45,2.34,1.43,2
50500,69.63,6.12,101.85,4177,33578,2.34,1.74,2.45,2.25,1.45,2
51000,69.77,6.16,101.85,6188,41317,2.35,1.75,2.46,2.40,1.49,2
51500,70.06,6.26,101.84,7427,45011,2.36,1.75,2.47,2.30,1.53,2
52000,70.21,6.39,101.84,13917,57978,2.38,1.77,2.49,2.54,1.67,2
52500,70.64,6.56,101.84,21319,60000,2.40,1.80,2.51,2.59,1.68,2
53000,71.16,6.71,101.85,17335,60000,2.41,1.81,2.52,2.52,1.64,2
53500,71.33,6.72,101.84,12717,60000,2.42,1.81,2.53,2.56,1.69,2
54000,71.45,6.93,101.84,21512,60000,2.44,1.84,2.55,2.65,1.69,2
54500,71.78,7.13,101.84,17900,60000,2.45,1.84,2.55,2.58,1.64,2
55000,72.13,7.19,101.84,21084,60000,2.46,1.85,2.57,2.67,1.67,2
55500,72.99,7.21,101.83,26308,60000,2.47,1.87,2.58,2.69,1.64,2
56000,73.53,6.97,101.83,30061,60000,2.47,1.88,2.59,2.66,1.64,2
56500,73.81,6.72,101.83,41786,60000,2.48,1.89,2.60,2.69,1.81,2
57000,74.56,6.72,101.82,40951,60000,2.50,1.90,2.61,2.71,1.86,2
57500,75.12,6.52,101.83,22766,60000,2.49,1.90,2.60,2.53,1.72,2
58000,75.21,6.28,101.83,23248,60000,2.48,1.89,2.60,2.58,1.68,2
58500,75.28,6.05,101.82,19154,60000,2.49,1.89,2.61,2.56,1.63,2
59000,75.04,5.87,101.83,29315,60000,2.48,1.90,2.60,2.54,1.72,2
59500,75.57,5.92,101.82,40414,60000,2.49,1.91,2.61,2.57,1.74,2
60000,76.15,6.00,101.82,57330,60000,2.53,1.95,2.64,2.78,1.82,2
60500,76.82,6.06,101.82,57330,60000,2.53,1.95,2.65,2.71,1.78,2
61000,77.29,5.94,101.81,57330,60000,2.53,1.95,2.65,2.67,1.84,2
61500,77.86,5.98,101.82,55987,60000,2.54,1.97,2.66,2.67,1.83,2
62000,78.27,5.98,101.81,55987,60000,2.55,1.98,2.67,2.74,1.81,2
62500,78.78,6.12,101.81,51244,60000,2.55,1.99,2.68,2.73,1.87,2
63000,79.59,6.28,101.81,57330,60000,2.57,2.00,2.68,2.75,1.84,2
