timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co,state
0,25.29,44.81,102.14,523,240,1.72,1.18,1.68,1.50,1
500,25.69,44.85,102.14,581,251,1.72,1.18,1.68,1.52,1
1000,25.87,44.81,102.14,734,319,1.73,1.18,1.69,1.61,1
1500,25.96,44.70,102.14,784,388,1.73,1.19,1.69,1.65,1
2000,26.05,44.60,102.14,942,492,1.74,1.19,1.70,1.75,1
2500,26.10,44.49,102.14,1004,584,1.74,1.19,1.71,1.75,1
3000,26.14,44.38,102.14,1026,682,1.75,1.19,1.71,1.76,1
3500,26.18,44.30,102.14,971,759,1.74,1.19,1.71,1.76,1
4000,26.21,44.20,102.14,913,803,1.75,1.19,1.72,1.76,1
4500,26.26,44.08,102.14,895,855,1.75,1.19,1.72,1.78,1
5000,26.29,44.02,102.14,859,891,1.75,1.20,1.72,1.78,1
5500,26.31,43.91,102.14,794,857,1.75,1.20,1.72,1.72,1
6000,26.35,43.86,102.14,784,846,1.75,1.20,1.72,1.71,2
6500,26.39,43.78,102.14,764,845,1.75,1.20,1.73,1.73,2
7000,26.42,43.70,102.14,733,810,1.76,1.20,1.73,1.70,2
7500,26.45,43.68,102.14,708,752,1.75,1.20,1.73,1.68,2
8000,26.46,43.64,102.14,678,720,1.75,1.20,1.73,1.65,2
8500,26.50,43.64,102.14,675,669,1.75,1.20,1.73,1.65,2
9000,26.55,43.63,102.14,747,694,1.76,1.20,1.73,1.72,2
9500,26.67,43.63,102.14,1710,1143,1.78,1.20,1.75,2.01,2
10000,26.72,43.61,102.14,2577,1884,1.78,1.21,1.75,2.03,2
10500,26.74,43.58,102.14,3517,2914,1.80,1.21,1.77,2.11,2
11000,26.87,43.58,102.14,3417,3971,1.82,1.21,1.79,2.35,2
11500,27.02,43.53,102.14,3137,4372,1.84,1.22,1.81,2.41,2
12000,27.16,43.46,102.14,3679,5194,1.85,1.22,1.83,2.40,2
12500,27.41,43.42,102.14,3606,5566,1.86,1.23,1.85,2.42,2
13000,27.61,43.32,102.14,2955,5405,1.87,1.24,1.86,2.42,2
13500,27.71,43.20,102.14,2985,5350,1.88,1.24,1.87,2.37,2
14000,27.87,43.03,102.14,2970,5390,1.89,1.25,1.88,2.39,2
14500,28.01,42.84,102.14,3436,5801,1.91,1.25,1.90,2.44,2
15000,28.07,42.63,102.14,3272,5987,1.91,1.26,1.91,2.36,2
15500,28.23,42.41,102.14,2963,5796,1.92,1.26,1.92,2.31,2
16000,28.38,42.19,102.14,3053,5891,1.92,1.27,1.92,2.30,2
16500,28.46,41.96,102.14,3071,5886,1.92,1.27,1.93,2.28,2
17000,28.67,41.70,102.14,3061,5972,1.93,1.28,1.93,2.27,2
17500,28.83,41.47,102.14,2904,5861,1.93,1.28,1.94,2.28,2
18000,28.95,41.21,102.14,2200,5385,1.94,1.28,1.94,2.24,2
18500,29.11,40.96,102.14,2641,5505,1.94,1.29,1.95,2.27,2
19000,29.49,40.73,102.14,2646,5621,1.95,1.29,1.95,2.33,2
19500,29.79,40.49,102.14,2021,5039,1.95,1.30,1.96,2.28,2
20000,29.99,40.20,102.14,2047,4868,1.96,1.30,1.96,2.28,2
20500,30.24,39.91,102.14,2349,5034,1.97,1.31,1.97,2.31,2
21000,30.61,39.61,102.14,2658,5300,1.98,1.31,1.98,2.37,2
21500,30.97,39.31,102.14,2857,5520,1.98,1.32,1.99,2.38,2
22000,31.24,38.96,102.14,2330,5199,1.99,1.32,1.99,2.34,2
22500,31.51,38.59,102.14,2084,4954,1.99,1.32,2.00,2.31,2
23000,31.90,38.23,102.14,1912,4578,2.00,1.32,2.00,2.29,2
23500,32.29,37.86,102.14,2031,4547,2.01,1.33,2.01,2.38,2
24000,32.58,37.47,102.14,1984,4457,2.01,1.33,2.01,2.32,2
24500,32.82,37.01,102.14,1990,4442,2.02,1.34,2.02,2.39,2
25000,33.14,36.58,102.14,2403,4748,2.02,1.34,2.03,2.41,2
25500,33.42,36.15,102.14,2629,4944,2.03,1.35,2.03,2.45,2
26000,33.85,35.75,102.14,2631,5240,2.04,1.35,2.04,2.42,2
26500,34.09,35.30,102.14,2614,5265,2.04,1.35,2.04,2.34,2
27000,34.36,34.83,102.14,2685,5320,2.04,1.35,2.05,2.42,2
27500,34.69,34.37,102.14,2563,5285,2.04,1.35,2.05,2.38,2
28000,34.95,33.89,102.14,3068,5480,2.05,1.36,2.05,2.41,2
28500,35.27,33.44,102.14,3473,6007,2.05,1.36,2.05,2.41,2
29000,35.58,32.97,102.14,4180,6604,2.07,1.36,2.07,2.51,2
29500,36.03,32.58,102.14,4528,7351,2.08,1.37,2.08,2.56,2
30000,36.55,32.17,102.14,4521,7757,2.08,1.37,2.09,2.60,2
30500,36.83,31.74,102.14,4202,7453,2.09,1.38,2.10,2.60,2
31000,37.06,31.31,102.14,4567,8252,2.10,1.38,2.10,2.60,2
31500,37.35,30.85,102.14,6003,9839,2.10,1.39,2.11,2.59,2
32000,37.38,30.39,102.15,6066,10447,2.11,1.39,2.12,2.57,2
32500,37.46,29.91,102.14,5522,10233,2.11,1.39,2.12,2.56,2
33000,37.48,29.47,102.15,8910,13036,2.12,1.40,2.13,2.63,2
33500,37.45,29.06,102.15,9008,13891,2.13,1.40,2.14,2.61,2
34000,37.70,28.75,102.14,7589,12901,2.14,1.40,2.15,2.62,2
34500,37.97,28.49,102.15,6819,12248,2.14,1.41,2.15,2.61,2
35000,38.15,28.18,102.15,7045,12361,2.14,1.41,2.15,2.60,2
35500,38.17,27.90,102.15,7155,12631,2.14,1.41,2.16,2.59,2
36000,38.43,27.62,102.15,6483,11663,2.14,1.41,2.15,2.54,2
36500,38.56,27.35,102.15,8429,13576,2.15,1.42,2.16,2.61,2
37000,38.47,27.07,102.15,9599,14567,2.15,1.42,2.17,2.65,2
37500,38.49,26.80,102.15,8082,13993,2.15,1.42,2.17,2.61,2
38000,38.43,26.52,102.15,6252,12439,2.15,1.42,2.17,2.57,2
38500,38.56,26.34,102.15,7688,12800,2.14,1.42,2.17,2.55,2
39000,38.60,26.12,102.14,9130,14240,2.15,1.42,2.18,2.60,2
39500,38.76,25.99,102.15,7126,13013,2.15,1.42,2.18,2.55,2
40000,39.09,25.89,102.15,7387,12935,2.16,1.43,2.18,2.62,2
40500,39.40,25.82,102.14,7474,13126,2.17,1.43,2.19,2.65,2
41000,39.76,25.75,102.15,9437,14477,2.18,1.44,2.20,2.68,2
41500,39.83,25.61,102.14,8962,14522,2.17,1.44,2.20,2.62,2
42000,40.10,25.49,102.14,8186,13914,2.18,1.45,2.20,2.65,2
42500,40.31,25.36,102.15,7919,13779,2.18,1.45,2.20,2.59,2
43000,40.48,25.20,102.14,9750,14871,2.19,1.45,2.21,2.67,2
43500,40.71,25.09,102.14,9790,15186,2.20,1.46,2.22,2.69,2
44000,40.96,24.96,102.14,9906,15512,2.20,1.46,2.23,2.69,2
44500,41.29,24.84,102.15,10821,15940,2.20,1.46,2.23,2.65,2
45000,41.61,24.72,102.14,11064,17474,2.21,1.47,2.24,2.71,2
45500,41.99,24.65,102.14,11528,17509,2.22,1.48,2.25,2.72,2
46000,41.98,24.44,102.14,13861,21308,2.22,1.49,2.25,2.70,2
46500,42.03,24.22,102.14,10670,17858,2.22,1.48,2.25,2.66,2
47000,42.04,23.97,102.14,10317,15996,2.22,1.48,2.25,2.64,2
47500,42.02,23.72,102.15,12152,19879,2.23,1.49,2.25,2.70,2
48000,42.13,23.56,102.15,11134,18380,2.23,1.49,2.26,2.70,2
48500,42.26,23.43,102.14,14826,23191,2.24,1.50,2.26,2.68,2
49000,42.64,23.36,102.14,13117,21971,2.24,1.51,2.27,2.71,2
49500,42.93,23.26,102.15,11371,19879,2.25,1.52,2.28,2.74,2
50000,43.04,23.16,102.14,11863,20298,2.25,1.52,2.28,2.73,2
50500,43.38,23.10,102.14,10045,16188,2.25,1.52,2.28,2.70,2
51000,43.86,23.00,102.15,12924,20820,2.26,1.52,2.28,2.69,2
51500,44.22,22.85,102.14,8863,15310,2.25,1.53,2.28,2.66,2
52000,44.43,22.60,102.15,11672,18380,2.26,1.53,2.28,2.67,2
52500,44.43,22.30,102.14,10740,17997,2.26,1.53,2.29,2.69,2
53000,44.69,22.10,102.14,10497,16498,2.26,1.54,2.29,2.68,2
53500,44.92,21.93,102.14,10705,17474,2.26,1.54,2.29,2.70,2
54000,45.19,21.78,102.14,13544,21657,2.27,1.55,2.30,2.69,2
54500,45.49,21.64,102.15,12883,22145,2.28,1.55,2.30,2.71,2
55000,45.49,21.40,102.15,11887,20402,2.27,1.55,2.30,2.67,2
55500,45.56,21.10,102.14,14178,21448,2.27,1.55,2.30,2.63,2
56000,46.01,20.94,102.14,11111,18764,2.27,1.55,2.30,2.64,2
56500,46.59,20.81,102.14,10138,16882,2.28,1.55,2.30,2.65,2
57000,46.97,20.68,102.14,10804,16882,2.28,1.56,2.31,2.70,2
57500,47.33,20.50,102.14,8933,15017,2.28,1.56,2.31,2.66,2
58000,47.78,20.36,102.15,9981,15726,2.29,1.56,2.31,2.69,2
58500,48.03,20.17,102.15,11244,17509,2.30,1.57,2.32,2.73,2
